species,ntype,stimulus,groupID,groupsize,name,age_m,sex,condition,approach_phys,approach_n,approach_alone_n,approach_soc_n,closest_appr_dis,latency_touch,sniffs_n,manipulate_n,explore_n,man_dur,sniff_dur,exp_dur,grid_time,lick,eat,notes
Marmoset,Food,Familiar Food,R3,2,John,165.5,Male,Individual,0,0,NA,NA,2,NA,0,0,0,0,0,0,0,0,0,
Marmoset,Food,Familiar Food,R3,2,Mojita,70,Female,Individual,0,0,NA,NA,2,NA,0,0,0,0,0,0,0,0,0,
Marmoset,Food,Familiar Food,M3,2,Werewolf,34,Male,Individual,0,0,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,
Marmoset,Food,Familiar Food,M3,2,Jambi,64,Female,Individual,1,1,NA,NA,0,0.1,0,1,1,0,0,0,1.435,1,1,
Marmoset,Food,Familiar Food,H1,2,Wasabi,50,Female,Individual,0,0,NA,NA,2,NA,0,0,0,0,0,0,0,0,0,
Marmoset,Food,Familiar Food,H1,2,Kapi,223,Male,Individual,1,1,NA,NA,0,9.309,0,1,1,0,0,0,12.379,1,1,
Marmoset,Food,Familiar Food,H6,2,Vesta,197,Female,Individual,1,1,NA,NA,0,0.367,0,1,1,0,0,0,2.135,1,1,
Marmoset,Food,Familiar Food,H6,2,Vito,177.5,Male,Individual,1,4,NA,NA,0,20.321,0,0,0,0,0,0,12.579,1,1,
Marmoset,Food,Familiar Food,L4,3,Lola,95.5,Female,Individual,1,1,NA,NA,0,4.905,0,1,1,0,0,0,7.241,1,1,
Marmoset,Food,Familiar Food,L4,3,Lancia,222.5,Female,Individual,1,1,NA,NA,0,17.751,0,1,1,0,0,0,19.62,1,1,
Marmoset,Food,Familiar Food,L4,2,Lotus,104,Male,Individual,1,1,NA,NA,0,4.571,0,1,1,0,0,0,66.633,1,1,
Marmoset,Food,Familiar Food,L4,3,Lexus,211.5,Male,Individual,1,1,NA,NA,0,10.877,0,1,1,0,0,0,14.047,1,1,
Marmoset,Food,Familiar Food,L6,4,Nux,56,Female,Individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Marmoset,Food,Familiar Food,L6,4,Lex,175.5,Male,Individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Marmoset,Food,Familiar Food,L6,4,Nougat,71,Female,Individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Marmoset,Food,Familiar Food,L6,4,Nox,56,Male,Individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Marmoset,Food,Familiar Food,L5,2,Washington,90.5,Female,Individual,1,1,NA,NA,0,20.588,0,1,1,0,0,0,24.124,1,1,
Marmoset,Food,Familiar Food,L5,2,Wolverine,33,Male,Individual,1,1,NA,NA,0,5.939,0,1,1,0,0,0,9.71,1,1,
